cell_key,variant,mode,shape_name,shape_json,lengths_json,heads,dim,pre_change_default_normalized,post_heuristic_normalized,pretuned_aot_normalized,fla_triton_normalized,pretuned_aot_vs_post_heuristic,post_heuristic_vs_fla_triton,pre_change_default_latency_us,post_heuristic_latency_us,pretuned_aot_latency_us,fla_triton_latency_us
vanilla_linear_attn::forward::B1_T8192_H96_D128,vanilla_linear_attn,forward,B1_T8192_H96_D128,"[1,96,8192,128,128]",null,,,1.0,4.3422216089297905,4.778837090475645,3.5403085419692117,1.1005511742302496,1.2265093726871992,1588.9137616524329,365.9218494018885,332.48962698878813,448.80657796245004
vanilla_linear_attn::forward_backward::B1_T8192_H96_D128,vanilla_linear_attn,forward_backward,B1_T8192_H96_D128,"[1,96,8192,128,128]",null,,,1.0,3.1434731972750987,3.659080714917754,2.385977514490385,1.1640247857336932,1.3174781313672628,4943.936022122701,1572.7622638578,1351.1415591262316,2072.0798884723204
simple_gla::forward::B1_T8192_H96_D128,simple_gla,forward,B1_T8192_H96_D128,"[1,96,8192,128,128]",null,,,1.0,3.9516976910190538,4.717472193590307,3.084520698280118,1.193783675383776,1.281138328305743,1787.782711747252,452.40877504630754,378.9704821527801,579.5982217736754
simple_gla::forward_backward::B1_T8192_H96_D128,simple_gla,forward_backward,B1_T8192_H96_D128,"[1,96,8192,128,128]",null,,,1.0,2.906094001735842,3.7310315063960484,1.9547151229049848,1.2838647009241484,1.4867097346732412,5324.923413140433,1832.3300657032419,1427.1987261463755,2724.1429458154694
retention::forward::B1_T8192_H96_D128,retention,forward,B1_T8192_H96_D128,"[1,96,8192,128,128]",null,,,1.0,3.949918014705433,4.7079583064724195,2.4035839890821222,1.191912917925087,1.6433451182264793,1786.1285967591366,452.1938405074309,379.3849648803385,743.1105402899698
retention::forward_backward::B1_T8192_H96_D128,retention,forward_backward,B1_T8192_H96_D128,"[1,96,8192,128,128]",null,,,1.0,2.9052747724437364,3.731880778536213,2.1699926227945054,1.2845190458172004,1.3388408522340223,5323.31657409668,1832.2936696342276,1426.4433646202087,2453.1496181960933
full_gla::forward::B1_T8192_H96_D128,full_gla,forward,B1_T8192_H96_D128,"[1,96,8192,128,128]",null,,,1.0,2.2667119606147157,2.560916535144538,1.4617376982275303,1.129793542206411,1.550696792839973,2593.450113346702,1144.1463046073914,1012.7038807222694,1774.2240050943888
full_gla::forward_backward::B1_T8192_H96_D128,full_gla,forward_backward,B1_T8192_H96_D128,"[1,96,8192,128,128]",null,,,1.0,2.1130095743309036,2.385090167977849,1.0143202630091994,1.128764486896895,2.083177918641008,7581.080794334412,3587.8118520759676,3178.5300598349622,7474.050426483154
delta_rule::forward::B1_T8192_H96_D128,delta_rule,forward,B1_T8192_H96_D128,"[1,96,8192,128,128]",null,,,1.0,1.9499381361190313,2.260128132401651,1.6321922524286425,1.1590768396888693,1.1946742996835051,2263.8848047990064,1161.0033994744183,1001.6621501867522,1387.0209231972694
delta_rule::forward_backward::B1_T8192_H96_D128,delta_rule,forward_backward,B1_T8192_H96_D128,"[1,96,8192,128,128]",null,,,1.0,1.6199223664352511,1.91878308579637,2.0378875057357075,1.1844907666895061,0.7949027421169821,7679.58804888603,4740.713634188213,4002.322151854232,3768.4062674075744
gated_delta_rule::forward::B1_T8192_H96_D128,gated_delta_rule,forward,B1_T8192_H96_D128,"[1,96,8192,128,128]",null,,,1.0,1.794276864620104,2.2481424231557683,1.9390064647358212,1.2529517977325977,0.9253588872714585,2392.530628892242,1333.4233283996582,1064.2255598441102,1233.8951274297124
gated_delta_rule::forward_backward::B1_T8192_H96_D128,gated_delta_rule,forward_backward,B1_T8192_H96_D128,"[1,96,8192,128,128]",null,,,1.0,1.4692119736961644,2.061373469779114,1.9314328082777699,1.403047012061317,0.7606850041064794,9353.18797826767,6366.125614085096,4537.357308314397,4842.616288892685
kda::forward::B1_T8192_H96_D128,kda,forward,B1_T8192_H96_D128,"[1,96,8192,128,128]",null,,,1.0,1.538681329062205,1.7804950708402305,1.3096678161108573,1.1571564801695529,1.1748638167130183,3120.7124183052465,2028.173319167561,1752.7217398206872,2382.827446712711
kda::forward_backward::B1_T8192_H96_D128,kda,forward_backward,B1_T8192_H96_D128,"[1,96,8192,128,128]",null,,,1.0,1.240616021896874,1.4707300449988499,1.240073102811707,1.1854836783021203,1.0004378121611832,14125.845779072155,11386.154563338667,9604.64894771576,11391.139560275607
kda_fused::forward::B1_T8192_H96_D128,kda_fused,forward,B1_T8192_H96_D128,"[1,96,8192,128,128]",null,,,1.0,1.4479964896939377,1.692214244342653,1.3044040264309338,1.1686590792083589,1.1100828120378443,3290.1688131053793,2272.2215395707353,1944.2980249722798,2522.3540762196417
vanilla_linear_attn::forward::B2_T16384_H16_D128,vanilla_linear_attn,forward,B2_T16384_H16_D128,"[2,16,16384,128,128]",null,,,1.0,4.389280057646654,5.167028621702253,3.4213050882182574,1.1771927409144622,1.2829256510218143,1129.794403027169,257.3985683731735,218.65456643337956,330.22322590223655
