cell_key,kernel_id,case_id,shape_and_dtype_json,baseline_origin,baseline_heuristic_name,post_heuristic_name,pre_change_selected_default_normalized,post_heuristic_normalized,quick_autotune_normalized,quick_autotune_vs_post_heuristic,pre_change_selected_default_latency_us,post_heuristic_latency_us,quick_autotune_latency_us
off::off.attention.backward::attention_backward_b1_h4_s256_d64_f16,off.attention.backward,attention_backward_b1_h4_s256_d64_f16,"[{""arg"":0,""dtype"":""torch.float16"",""shape"":[1,4,256,64],""stride"":[65536,16384,64,1]},{""arg"":1,""dtype"":""torch.float16"",""shape"":[1,4,256,64],""stride"":[65536,16384,64,1]},{""arg"":2,""dtype"":""torch.float16"",""shape"":[1,4,256,64],""stride"":[65536,16384,64,1]},{""arg"":3,""dtype"":""torch.float16"",""shape"":[1,4,256,64],""stride"":[65536,16384,64,1]},{""arg"":4,""dtype"":""torch.float32"",""shape"":[1,4,256],""stride"":[1024,256,1]},{""arg"":5,""dtype"":""torch.float16"",""shape"":[1,4,256,64],""stride"":[65536,16384,64,1]},{""arg"":6,""dtype"":""torch.float32"",""shape"":[1,4,256],""stride"":[1024,256,1]},{""arg"":7,""literal"":0.125}]",default_config,,triton_b200_multi_matmul,1.0,1.857142810740067,1.861297524292746,1.0022371535073404,26.623999699950218,14.336000196635723,14.303999952971935
off::off.attention.backward::attention_backward_b2_h16_s512_d64_f16,off.attention.backward,attention_backward_b2_h16_s512_d64_f16,"[{""arg"":0,""dtype"":""torch.float16"",""shape"":[2,16,512,64],""stride"":[524288,32768,64,1]},{""arg"":1,""dtype"":""torch.float16"",""shape"":[2,16,512,64],""stride"":[524288,32768,64,1]},{""arg"":2,""dtype"":""torch.float16"",""shape"":[2,16,512,64],""stride"":[524288,32768,64,1]},{""arg"":3,""dtype"":""torch.float16"",""shape"":[2,16,512,64],""stride"":[524288,32768,64,1]},{""arg"":4,""dtype"":""torch.float32"",""shape"":[2,16,512],""stride"":[8192,512,1]},{""arg"":5,""dtype"":""torch.float16"",""shape"":[2,16,512,64],""stride"":[524288,32768,64,1]},{""arg"":6,""dtype"":""torch.float32"",""shape"":[2,16,512],""stride"":[8192,512,1]},{""arg"":7,""literal"":0.125}]",default_config,,triton_b200_multi_matmul,1.0,1.502175770922209,1.9349776040799656,1.288116638236052,55.23199960589409,36.768000572919846,28.543999418616295
off::off.attention.backward::attention_backward_b2_h32_s1024_d64_f16,off.attention.backward,attention_backward_b2_h32_s1024_d64_f16,"[{""arg"":0,""dtype"":""torch.float16"",""shape"":[2,32,1024,64],""stride"":[2097152,65536,64,1]},{""arg"":1,""dtype"":""torch.float16"",""shape"":[2,32,1024,64],""stride"":[2097152,65536,64,1]},{""arg"":2,""dtype"":""torch.float16"",""shape"":[2,32,1024,64],""stride"":[2097152,65536,64,1]},{""arg"":3,""dtype"":""torch.float16"",""shape"":[2,32,1024,64],""stride"":[2097152,65536,64,1]},{""arg"":4,""dtype"":""torch.float32"",""shape"":[2,32,1024],""stride"":[32768,1024,1]},{""arg"":5,""dtype"":""torch.float16"",""shape"":[2,32,1024,64],""stride"":[2097152,65536,64,1]},{""arg"":6,""dtype"":""torch.float32"",""shape"":[2,32,1024],""stride"":[32768,1024,1]},{""arg"":7,""literal"":0.125}]",default_config,,triton_b200_multi_matmul,1.0,1.8528879658930881,2.346322168524169,1.2663054710883432,360.32000184059143,194.46399807929993,153.56799960136414
off::off.attention.backward::attention_backward_b4_h32_s2048_d128_bf16,off.attention.backward,attention_backward_b4_h32_s2048_d128_bf16,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[4,32,2048,128],""stride"":[8388608,262144,128,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[4,32,2048,128],""stride"":[8388608,262144,128,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[4,32,2048,128],""stride"":[8388608,262144,128,1]},{""arg"":3,""dtype"":""torch.bfloat16"",""shape"":[4,32,2048,128],""stride"":[8388608,262144,128,1]},{""arg"":4,""dtype"":""torch.float32"",""shape"":[4,32,2048],""stride"":[65536,2048,1]},{""arg"":5,""dtype"":""torch.bfloat16"",""shape"":[4,32,2048,128],""stride"":[8388608,262144,128,1]},{""arg"":6,""dtype"":""torch.float32"",""shape"":[4,32,2048],""stride"":[65536,2048,1]},{""arg"":7,""literal"":0.08838834764831845}]",default_config,,triton_b200_multi_matmul,1.0,2.348499273919775,1.9180780512588944,0.816724992236219,4919.824123382568,2094.879984855652,2564.9759769439697
off::off.attention.backward::attention_backward_b1_h16_s4096_d128_bf16,off.attention.backward,attention_backward_b1_h16_s4096_d128_bf16,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[1,16,4096,128],""stride"":[8388608,524288,128,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[1,16,4096,128],""stride"":[8388608,524288,128,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[1,16,4096,128],""stride"":[8388608,524288,128,1]},{""arg"":3,""dtype"":""torch.bfloat16"",""shape"":[1,16,4096,128],""stride"":[8388608,524288,128,1]},{""arg"":4,""dtype"":""torch.float32"",""shape"":[1,16,4096],""stride"":[65536,4096,1]},{""arg"":5,""dtype"":""torch.bfloat16"",""shape"":[1,16,4096,128],""stride"":[8388608,524288,128,1]},{""arg"":6,""dtype"":""torch.float32"",""shape"":[1,16,4096],""stride"":[65536,4096,1]},{""arg"":7,""literal"":0.08838834764831845}]",default_config,,triton_b200_multi_matmul,1.0,2.257356452300981,1.8966357197093109,0.8402021390002549,2653.712034225464,1175.5839586257935,1399.1680145263672
off::off.attention.biased_forward::biased_attention_b1_h4_m128_n128_d64_f16,off.attention.biased_forward,biased_attention_b1_h4_m128_n128_d64_f16,"[{""arg"":0,""dtype"":""torch.float16"",""shape"":[1,4,128,64],""stride"":[32768,8192,64,1]},{""arg"":1,""dtype"":""torch.float16"",""shape"":[1,4,128,64],""stride"":[32768,8192,64,1]},{""arg"":2,""dtype"":""torch.float16"",""shape"":[1,4,128,64],""stride"":[32768,8192,64,1]},{""arg"":3,""dtype"":""torch.float32"",""shape"":[1,4,128,128],""stride"":[65536,16384,128,1]}]",default_config,,triton_b200_multi_matmul,1.0,1.6640623792077391,2.015772807235231,1.2113565166919649,20.447999238967896,12.28800043463707,10.143999941647053
off::off.attention.biased_forward::biased_attention_b2_h8_m512_n512_d64_f16,off.attention.biased_forward,biased_attention_b2_h8_m512_n512_d64_f16,"[{""arg"":0,""dtype"":""torch.float16"",""shape"":[2,8,512,64],""stride"":[262144,32768,64,1]},{""arg"":1,""dtype"":""torch.float16"",""shape"":[2,8,512,64],""stride"":[262144,32768,64,1]},{""arg"":2,""dtype"":""torch.float16"",""shape"":[2,8,512,64],""stride"":[262144,32768,64,1]},{""arg"":3,""dtype"":""torch.float32"",""shape"":[2,8,512,512],""stride"":[2097152,262144,512,1]}]",default_config,,triton_b200_multi_matmul,1.0,1.6660869521204038,2.729344820529693,1.638176697234257,61.3120011985302,36.80000081658363,22.463999688625336
off::off.attention.biased_forward::biased_attention_b2_h16_m1024_n1024_d64_f16,off.attention.biased_forward,biased_attention_b2_h16_m1024_n1024_d64_f16,"[{""arg"":0,""dtype"":""torch.float16"",""shape"":[2,16,1024,64],""stride"":[1048576,65536,64,1]},{""arg"":1,""dtype"":""torch.float16"",""shape"":[2,16,1024,64],""stride"":[1048576,65536,64,1]},{""arg"":2,""dtype"":""torch.float16"",""shape"":[2,16,1024,64],""stride"":[1048576,65536,64,1]},{""arg"":3,""dtype"":""torch.float32"",""shape"":[2,16,1024,1024],""stride"":[16777216,1048576,1024,1]}]",default_config,,triton_b200_multi_matmul,1.0,0.8085448606118042,2.97297286667703,3.6769423831690196,225.2800017595291,278.6239981651306,75.77600330114365
off::off.attention.biased_forward::biased_attention_b1_h16_m1024_n2048_d128_bf16,off.attention.biased_forward,biased_attention_b1_h16_m1024_n2048_d128_bf16,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[1,16,1024,128],""stride"":[2097152,131072,128,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[1,16,2048,128],""stride"":[4194304,262144,128,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[1,16,2048,128],""stride"":[4194304,262144,128,1]},{""arg"":3,""dtype"":""torch.float32"",""shape"":[1,16,1024,2048],""stride"":[33554432,2097152,2048,1]}]",default_config,,triton_b200_multi_matmul,1.0,2.2895866111223304,1.9718785069958404,0.8612377873878494,290.5760109424591,126.91199779510498,147.35999703407288
off::off.attention.biased_forward::biased_attention_b4_h8_m256_n1024_d64_bf16,off.attention.biased_forward,biased_attention_b4_h8_m256_n1024_d64_bf16,"[{""arg"":0,""dtype"":""torch.bfloat16"",""shape"":[4,8,256,64],""stride"":[131072,16384,64,1]},{""arg"":1,""dtype"":""torch.bfloat16"",""shape"":[4,8,1024,64],""stride"":[524288,65536,64,1]},{""arg"":2,""dtype"":""torch.bfloat16"",""shape"":[4,8,1024,64],""stride"":[524288,65536,64,1]},{""arg"":3,""dtype"":""torch.float32"",""shape"":[4,8,256,1024],""stride"":[2097152,262144,1024,1]}]",default_config,,triton_b200_multi_matmul,1.0,1.5782039030263872,2.330849575092742,1.4769001461871119,100.09600222110748,63.4239986538887,42.94399917125702
