timestamp_s,config_index,generation,status,perf_ms,compile_time_s,config
0.62,1,0,started,,0.05,"Config(atomic_indexing=[], block_sizes=[32, 32], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', ''], num_stages=1, num_warps=4, pid_type='flat', range_flattens=[None, None], range_multi_buffers=[None, None], range_num_stages=[0, 0], range_unroll_factors=[0, 0], range_warp_specializes=[])"
4.73,2,0,ok,0.827008,0.05,"Config(atomic_indexing=[], block_sizes=[32, 32], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', ''], num_stages=1, num_warps=4, pid_type='flat', range_flattens=[None, None], range_multi_buffers=[None, None], range_num_stages=[0, 0], range_unroll_factors=[0, 0], range_warp_specializes=[])"
4.73,3,0,started,,0.25,"Config(atomic_indexing=[], block_sizes=[1, 16384], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', ''], num_stages=1, num_warps=16, pid_type='flat', range_flattens=[None, None], range_multi_buffers=[None, None], range_num_stages=[0, 0], range_unroll_factors=[0, 0], range_warp_specializes=[])"
4.80,4,0,ok,0.265056,0.25,"Config(atomic_indexing=[], block_sizes=[1, 16384], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', ''], num_stages=1, num_warps=16, pid_type='flat', range_flattens=[None, None], range_multi_buffers=[None, None], range_num_stages=[0, 0], range_unroll_factors=[0, 0], range_warp_specializes=[])"
6.45,5,1,started,,0.44,"Config(atomic_indexing=[], block_sizes=[1, 8192], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', ''], num_stages=1, num_warps=4, pid_type='flat', range_flattens=[None, True], range_multi_buffers=[None, None], range_num_stages=[0, 0], range_unroll_factors=[0, 0], range_warp_specializes=[])"
6.52,6,1,ok,0.344928,0.44,"Config(atomic_indexing=[], block_sizes=[1, 8192], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', ''], num_stages=1, num_warps=4, pid_type='flat', range_flattens=[None, True], range_multi_buffers=[None, None], range_num_stages=[0, 0], range_unroll_factors=[0, 0], range_warp_specializes=[])"
6.52,7,1,started,,0.23,"Config(atomic_indexing=[], block_sizes=[1, 4096], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', 'first'], num_stages=1, num_warps=32, pid_type='flat', range_flattens=[None, None], range_multi_buffers=[None, None], range_num_stages=[0, 0], range_unroll_factors=[0, 0], range_warp_specializes=[])"
6.58,8,1,ok,0.262320,0.23,"Config(atomic_indexing=[], block_sizes=[1, 4096], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', 'first'], num_stages=1, num_warps=32, pid_type='flat', range_flattens=[None, None], range_multi_buffers=[None, None], range_num_stages=[0, 0], range_unroll_factors=[0, 0], range_warp_specializes=[])"
6.58,9,1,started,,0.46,"Config(atomic_indexing=[], block_sizes=[4, 16384], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', ''], num_stages=1, num_warps=32, pid_type='flat', range_flattens=[None, None], range_multi_buffers=[None, None], range_num_stages=[0, 0], range_unroll_factors=[0, 0], range_warp_specializes=[])"
6.65,10,1,ok,0.472928,0.46,"Config(atomic_indexing=[], block_sizes=[4, 16384], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', ''], num_stages=1, num_warps=32, pid_type='flat', range_flattens=[None, None], range_multi_buffers=[None, None], range_num_stages=[0, 0], range_unroll_factors=[0, 0], range_warp_specializes=[])"
6.65,11,1,started,,0.49,"Config(atomic_indexing=[], block_sizes=[4, 16384], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', ''], num_sm_multiplier=1, num_stages=1, num_warps=32, pid_type='persistent_blocked', range_flattens=[None, None], range_multi_buffers=[None, None], range_num_stages=[0, 0], range_unroll_factors=[0, 0], range_warp_specializes=[])"
7.14,12,1,ok,0.451904,0.49,"Config(atomic_indexing=[], block_sizes=[4, 16384], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', ''], num_sm_multiplier=1, num_stages=1, num_warps=32, pid_type='persistent_blocked', range_flattens=[None, None], range_multi_buffers=[None, None], range_num_stages=[0, 0], range_unroll_factors=[0, 0], range_warp_specializes=[])"
7.14,13,1,started,,0.19,"Config(atomic_indexing=[], block_sizes=[1, 4096], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', ''], num_stages=2, num_warps=32, pid_type='flat', range_flattens=[None, None], range_multi_buffers=[None, None], range_num_stages=[0, 1], range_unroll_factors=[0, 0], range_warp_specializes=[])"
7.21,14,1,ok,0.271296,0.19,"Config(atomic_indexing=[], block_sizes=[1, 4096], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', ''], num_stages=2, num_warps=32, pid_type='flat', range_flattens=[None, None], range_multi_buffers=[None, None], range_num_stages=[0, 1], range_unroll_factors=[0, 0], range_warp_specializes=[])"
7.21,15,1,started,,0.18,"Config(atomic_indexing=[], block_sizes=[1, 8192], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', ''], num_stages=1, num_warps=32, pid_type='flat', range_flattens=[None, None], range_multi_buffers=[None, None], range_num_stages=[0, 0], range_unroll_factors=[0, 0], range_warp_specializes=[])"
7.27,16,1,ok,0.264416,0.18,"Config(atomic_indexing=[], block_sizes=[1, 8192], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', ''], num_stages=1, num_warps=32, pid_type='flat', range_flattens=[None, None], range_multi_buffers=[None, None], range_num_stages=[0, 0], range_unroll_factors=[0, 0], range_warp_specializes=[])"
7.27,17,1,started,,0.43,"Config(atomic_indexing=[], block_sizes=[4, 16384], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', ''], num_stages=1, num_warps=32, pid_type='flat', range_flattens=[None, False], range_multi_buffers=[None, None], range_num_stages=[0, 1], range_unroll_factors=[0, 0], range_warp_specializes=[])"
7.34,18,1,ok,0.473088,0.43,"Config(atomic_indexing=[], block_sizes=[4, 16384], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', ''], num_stages=1, num_warps=32, pid_type='flat', range_flattens=[None, False], range_multi_buffers=[None, None], range_num_stages=[0, 1], range_unroll_factors=[0, 0], range_warp_specializes=[])"
7.34,19,1,started,,0.30,"Config(atomic_indexing=[], block_sizes=[2, 16384], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', ''], num_stages=1, num_warps=32, pid_type='flat', range_flattens=[None, None], range_multi_buffers=[None, None], range_num_stages=[0, 0], range_unroll_factors=[0, 0], range_warp_specializes=[])"
7.41,20,1,ok,0.257856,0.30,"Config(atomic_indexing=[], block_sizes=[2, 16384], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', ''], num_stages=1, num_warps=32, pid_type='flat', range_flattens=[None, None], range_multi_buffers=[None, None], range_num_stages=[0, 0], range_unroll_factors=[0, 0], range_warp_specializes=[])"
7.41,21,1,started,,0.17,"Config(atomic_indexing=[], block_sizes=[32, 128], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', ''], num_stages=1, num_warps=16, pid_type='flat', range_flattens=[None, None], range_multi_buffers=[None, False], range_num_stages=[0, 0], range_unroll_factors=[0, 1], range_warp_specializes=[])"
7.47,22,1,ok,0.429856,0.17,"Config(atomic_indexing=[], block_sizes=[32, 128], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', ''], num_stages=1, num_warps=16, pid_type='flat', range_flattens=[None, None], range_multi_buffers=[None, False], range_num_stages=[0, 0], range_unroll_factors=[0, 1], range_warp_specializes=[])"
7.47,23,1,started,,0.16,"Config(atomic_indexing=[], block_sizes=[16, 32], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', ''], num_stages=1, num_warps=16, pid_type='flat', range_flattens=[None, None], range_multi_buffers=[None, None], range_num_stages=[0, 0], range_unroll_factors=[0, 0], range_warp_specializes=[])"
7.54,24,1,ok,0.512896,0.16,"Config(atomic_indexing=[], block_sizes=[16, 32], indexing=['pointer', 'pointer', 'pointer'], load_eviction_policies=['', ''], num_stages=1, num_warps=16, pid_type='flat', range_flattens=[None, None], range_multi_buffers=[None, None], range_num_stages=[0, 0], range_unroll_factors=[0, 0], range_warp_specializes=[])"
7.54,25,1,started,,0.19,"Config(atomic_indexing=[], block_sizes=[32, 128], indexing=['pointer', 'tensor_descriptor', 'pointer'], load_eviction_policies=['', ''], num_stages=1, num_warps=16, pid_type='flat', range_flattens=[None, None], range_multi_buffers=[None, None], range_num_stages=[0, 0], range_unroll_factors=[0, 0], range_warp_specializes=[])"
7.60,26,1,ok,0.451312,0.19,"Config(atomic_indexing=[], block_sizes=[32, 128], indexing=['pointer', 'tensor_descriptor', 'pointer'], load_eviction_policies=['', ''], num_stages=1, num_warps=16, pid_type='flat', range_flattens=[None, None], range_multi_buffers=[None, None], range_num_stages=[0, 0], range_unroll_factors=[0, 0], range_warp_specializes=[])"
